CPU Name,Price1,CPU Mark,CPU Value2,Thread Mark,Thread Value3,TDP (W),Power Perf.4,Test Date5,Socket,Category,
AMD Opteron 4122,$124.99*,2942,23.55,NA,NA,95,30,Mar-11,C32,Server,
AMD Opteron 6134,$43.99*,2938,66.81,NA,NA,115,25,Dec-10,G34,Server,
Intel Core i3-560 @ 3.33GHz,$179.95 ,2935,16.31,1351,7.51,73,40,Sep-10,LGA1156,Desktop,
Intel Core i5-3439Y @ 1.50GHz,NA,2930,NA,1154,NA,13,225,Jan-13,BGA1023,Desktop,
Intel Pentium G3260T @ 2.90GHz,$89.99*,2930,32.56,1714,19.05,35,83,Aug-15,LGA1150,Desktop,
AMD Athlon II X4 620,$59.95 ,2928,48.86,905,15.1,95,30,Sep-09,AM3,Desktop,
Intel Pentium 4405U @ 2.10GHz,NA,2927,NA,1169,NA,15,195,Dec-15,FCBGA1356,Laptop,
Intel Celeron G3900T @ 2.60GHz,$112.46*,2925,26.01,1518,13.51,35,83,Apr-16,NA,Desktop,
Six-Core AMD Opteron 2419 EE,NA,2925,NA,609,NA,60,48,Aug-14,F (1207),Server,
AMD Athlon 5370 APU,$63.70*,2915,45.77,872,13.7,25,116,Apr-16,AM1,FS1B,Desktop
Intel Core i3-4158U @ 2.00GHz,NA,2914,NA,1131,NA,28,104,Dec-14,FCBGA1168,Laptop,
Intel Core M-5Y70 @ 1.10GHz,NA,2912,NA,1193,NA,4.5,647,Oct-14,BGA1234,Laptop,
Intel Celeron G1850 @ 2.90GHz,$79.99*,2909,36.38,1680,21.01,54,53,May-14,FCLGA1150,Desktop,
AMD A10-4657M APU,NA,2906,NA,887,NA,35,83,May-13,FP2,Laptop,
AMD Athlon II X4 620e,NA,2906,NA,NA,NA,45,64,Jan-11,AM3,Desktop,
AMD A10-7300 APU,NA,2905,NA,961,NA,19,152,Jul-14,FP3,Laptop,
Intel Pentium Silver J5005 @ 1.50GHz,$219.92*,2903,13.2,1194,5.43,10,290,Dec-17,FCBGA1090,Desktop,
Intel Core i3-4110U @ 1.90GHz,NA,2902,NA,1136,NA,NA,NA,Aug-15,NA,Laptop,
Intel Core i3-5005U @ 2.00GHz,NA,2902,NA,1092,NA,15,193,Feb-15,FCBGA1168,Laptop,
Intel Core i5-4230U @ 1.90GHz,NA,2902,NA,1645,NA,15,193,Jan-18,FCBGA1364,Laptop,
Intel Core i7-2637M @ 1.70GHz,NA,2900,NA,1203,NA,17,170,Dec-11,BGA1023,Laptop,
AMD Athlon II X4 615e,$59.00*,2899,49.15,867,14.71,45,64,Dec-10,AM3,Desktop,
AMD Phenom II X3 B75,$39.99*,2897,72.45,1057,26.44,95,30,Aug-09,AM3,Desktop,
AMD Phenom X4 Quad-Core GP-9730,NA,2897,NA,876,NA,NA,NA,Oct-16,AM2+ (940-pin),Desktop,
AMD Athlon X4 635,$121.99*,2891,23.71,NA,NA,95,30,Jul-10,NA,Unknown,
AMD A6-9500E,$72.50*,2889,39.85,1631,22.5,35,82,Oct-18,AM4,Desktop,
AMD Phenom 9850 Quad-Core,$119.99*,2887,24.07,848,7.07,125,23,Nov-08,AM2+,Desktop,
Intel Xeon E5345 @ 2.33GHz,$39.99*,2886,72.17,911,22.79,80,36,Nov-08,LGA771,Server,
Intel Pentium G4400TE @ 2.40GHz,$64.00*,2885,45.09,1387,21.67,35,82,Jun-18,FCLGA1151,Laptop,
AMD Phenom II X4 900e,NA,2882,NA,844,NA,65,44,Nov-10,AM3,Desktop,
Intel Pentium G2030 @ 3.00GHz,$39.99*,2867,71.7,1603,40.1,55,52,Jul-13,FCLGA1155,Desktop,
AMD Athlon II X3 460,$38.99*,2864,73.46,1169,29.98,95,30,Aug-11,AM3,Desktop,
AMD Athlon X4 620,$59.95 ,2861,47.74,889,14.84,95,30,Oct-09,NA,Unknown,
Intel Celeron G1840 @ 2.80GHz,$61.74 ,2860,46.33,1634,26.48,53,53,Jun-14,FCLGA1150,Desktop,
Intel Pentium G3240T @ 2.70GHz,NA,2840,NA,1557,NA,35,81,Aug-14,LGA1150,Desktop,
Intel Core i3-2310E @ 2.10GHz,$225.00*,2839,12.62,1127,5.01,35,81,Aug-12,FCBGA1023,Laptop,
Celeron Dual-Core Q8300 @ 2.50GHz,NA,2837,NA,NA,NA,95,29,Sep-09,NA,Desktop,
Intel Xeon E5405 @ 2.00GHz,$39.95*,2835,70.97,860,21.54,80,35,Feb-09,LGA771,Server,
Intel Core i7-2677M @ 1.80GHz,NA,2833,NA,1184,NA,17,166,Jul-11,BGA1023,Laptop,
Intel Core M-5Y31 @ 0.90GHz,NA,2832,NA,1148,NA,4.5,629,Apr-15,FCBGA1234,Laptop,
Intel Core i3-550 @ 3.20GHz,$175.74 ,2829,16.1,1299,7.39,73,38,Jun-10,LGA1156,Desktop,
Intel Core i7-640M @ 2.80GHz,$199.95 ,2827,14.14,1301,6.51,35,80,Oct-10,BGA1288,Laptop,
AMD PRO A6-8570E,NA,2824,NA,1599,NA,35,80,Jan-17,NA,Desktop,
AMD Opteron 2350,$79.95*,2820,35.28,NA,NA,75,37,May-09,F (1207),Server,
Intel Core M-5Y10c @ 0.80GHz,$281.00*,2819,10.03,1052,3.75,4.5,626,Jan-15,FCBGA1234,Laptop,
Intel Pentium G870 @ 3.10GHz,$97.00*,2819,29.07,1603,16.53,65,43,Sep-12,FCLGA1155,Desktop,
AMD Opteron 2356,$52.00*,2814,54.12,777,14.96,75,37,Aug-09,F (1207),Server,
Intel Core i7-2617M @ 1.50GHz,NA,2812,NA,1151,NA,17,165,May-11,BGA1023,Laptop,
AMD Phenom 9750 Quad-Core,$29.49*,2810,95.32,833,28.28,125,22,Dec-08,AM2+,Desktop,
Intel Core2 Quad Q8200 @ 2.33GHz,$22.99*,2807,122.14,990,43.09,95,29,Nov-08,LGA775,Desktop,
Intel Core i5-4422E @ 1.80GHz,$266.00*,2806,10.55,1077,4.05,25,112,Dec-17,FCBGA1364,Laptop,
AMD A8-7100 APU,NA,2805,NA,959,NA,19,147,Aug-14,FP3,Laptop,
AMD A6-3620 APU,$59.99*,2793,46.57,788,13.14,65,42,Feb-12,FM1,Desktop,
AMD Athlon II X4 610e,$69.99*,2793,39.92,833,11.91,45,62,Aug-10,AM3,Desktop,
AMD Phenom II X4 B05e,NA,2792,NA,806,NA,NA,NA,Sep-12,NA,Unknown,
AMD Opteron 2373 EE,NA,2789,NA,736,NA,60,46,Feb-18,F (1207),Server,
Intel Core i3-4025U @ 1.90GHz,NA,2789,NA,1079,NA,15,185,Aug-14,FCBGA1168,Laptop,
AMD A6-7400K APU,$67.49 ,2783,41.25,1581,23.44,65,42,Oct-14,FM2+,Desktop,
Intel Core i3-2370M @ 2.40GHz,$39.81*,2778,69.8,1163,29.22,35,79,Jun-12,PGA988B,Laptop,
AMD PRO A4-8350B,NA,2776,NA,1652,NA,65,42,Feb-16,FM2+,Desktop,
Intel E3000 @ 3.40GHz,NA,2767,NA,NA,NA,NA,NA,Dec-10,NA,Unknown,
Intel Celeron G3930T @ 2.70GHz,$69.79 ,2766,39.64,1580,22.64,35,79,Nov-18,FCLGA1151,Desktop,
AMD Athlon II X3 455,$38.99*,2765,70.92,1130,29,95,29,Dec-10,AM3,Desktop,
AMD Opteron 1356,$89.99*,2765,30.73,840,9.34,75,36,May-09,AM2,Server,
AMD A10-5745M APU,NA,2764,NA,913,NA,25,110,Jul-13,FP2,Laptop,
Intel Pentium G2100T @ 2.60GHz,NA,2763,NA,1442,NA,35,78,May-16,LGA1155,Desktop,
AMD PRO A6-7350B,NA,2759,NA,1645,NA,15,183,Mar-18,FMA4,Laptop,
Intel Xeon L5335 @ 2.00GHz,$18.79*,2756,146.68,799,42.57,50,55,Jan-07,LGA771,Server,
Intel Pentium G2020 @ 2.90GHz,$59.95*,2753,45.93,1543,25.74,55,50,Jan-13,FCLGA1155,Desktop,
Intel Celeron G1820 @ 2.70GHz,$59.99 ,2749,45.84,1575,26.27,53,51,Jan-14,FCLGA1150,Desktop,
AMD A8-7410 APU,NA,2748,NA,923,NA,25,109,Jun-15,NA,Laptop,
Intel Pentium 1403 @ 2.60GHz,NA,2742,NA,1247,NA,80,34,May-13,LGA1356,Server,
Intel Xeon X3210 @ 2.13GHz,$185.71*,2740,14.76,845,4.55,105,26,Dec-08,LGA775,Server,
AMD Phenom II X4 B15e,NA,2736,NA,872,NA,NA,NA,Nov-10,AM2+/AM3,Desktop,
Intel Pentium G860 @ 3.00GHz,$82.99 ,2736,32.98,1547,18.65,65,42,Nov-11,FCLGA1155,Desktop,
AMD Phenom II X3 B73,$75.00*,2735,36.47,976,13.02,95,28,Jul-10,AM3,Desktop,
AMD A6-7470K,$132.91 ,2727,20.52,1656,12.46,65,41,May-16,FM2+,Desktop,
AMD PRO A6-9500E,$74.00*,2717,36.73,1589,21.48,35,77,Jan-17,AM4,Desktop,
Intel Core i3-4030U @ 1.90GHz,NA,2717,NA,1043,NA,15,181,Jun-14,FCBGA1168,Laptop,
Intel Core i7-620M @ 2.67GHz,$110.01 ,2717,24.7,1213,11.03,35,77,Jan-10,BGA1288,Laptop,
AMD Athlon II X4 605e,$101.80*,2716,26.69,812,7.99,45,60,Dec-09,AM3,Desktop,
AMD Phenom X4 Quad-Core GP-9830,NA,2715,NA,NA,NA,NA,NA,May-09,NA,Desktop,
AMD Phenom 9750B Quad-Core,NA,2709,NA,834,NA,95,28,Sep-09,AM2+,Desktop,
AMD A6-3600 APU,$22.99*,2707,117.76,757,32.95,65,41,Nov-11,FM1,Desktop,
AMD Phenom II X940 Quad-Core,NA,2695,NA,640,NA,45,59,Aug-14,S1,Laptop,
Intel Core i5-2557M @ 1.70GHz,NA,2694,NA,1121,NA,17,158,Jun-11,BGA1023,Laptop,
AMD Phenom X4 Quad-Core GP-9930,NA,2690,NA,NA,NA,NA,NA,May-12,NA,Desktop,
Intel Core i3-540 @ 3.07GHz,$189.95 ,2685,14.14,1223,6.44,73,36,Jan-10,LGA1156,Desktop,
Intel Xeon E5504 @ 2.00GHz,$69.95*,2680,38.32,818,11.7,80,33,Apr-09,LGA1366,Server,
Intel Celeron G3900E @ 2.40GHz,$107.00*,2679,25.05,1404,13.12,35,76,Apr-17,FCBGA1440,Laptop,
AMD Opteron 3320 EE,NA,2675,NA,774,NA,25,107,Jun-16,AM3+,Server,
AMD A6-7310 APU,NA,2673,NA,902,NA,25,106,Jun-15,NA,Laptop,
AMD A8-4500M APU,NA,2666,NA,856,NA,35,76,May-12,FS1r2,Laptop,
AMD Phenom II X3 720,$69.99*,2666,38.1,966,13.82,95,28,Feb-09,AM3,Desktop,
Intel Pentium G850 @ 2.90GHz,$29.88 ,2664,89.18,1502,50.28,65,40,May-11,FCLGA1155,Desktop,
AMD A8 PRO-7150B APU,NA,2655,NA,825,NA,19,139,Jul-14,FP3,Laptop,
Intel Core M-5Y10 @ 0.80GHz,NA,2653,NA,1009,NA,4.5,589,Aug-14,NA,Laptop,
AMD Phenom II N830 3+1,NA,2652,NA,763,NA,35,75,Aug-14,S1,Laptop,
AMD Phenom II X920 Quad-Core,NA,2650,NA,785,NA,45,58,Sep-10,S1,Laptop,
AMD Phenom II X3 715,$84.99*,2649,31.17,NA,NA,95,27,Nov-10,AM2+,Desktop,
Intel Celeron J4105 @ 1.50GHz,$107.00*,2642,24.7,1071,10.01,10,264,Jan-18,FCBGA1090,Desktop,
AMD Opteron 2380,$45.00 ,2640,58.69,NA,NA,75,35,Mar-09,F (1207),Server,
AMD Phenom 9650 Quad-Core,$44.95*,2635,58.63,790,17.59,95,27,Dec-08,AM2+,Desktop,
AMD Opteron 1354,$135.00*,2630,19.49,768,5.69,75,35,Mar-09,AM2,Server,
Intel Core i3-2350M @ 2.30GHz,$31.88 ,2630,82.51,1097,34.43,35,75,Oct-11,PGA988B,Laptop,
AMD A6 PRO-7400B,NA,2621,NA,1572,NA,65,40,Dec-14,FM2+,Desktop,
AMD Athlon II X3 450,$38.01 ,2621,68.96,1059,27.88,95,27,Nov-10,AM3,Desktop,
Intel Core i3-2348M @ 2.30GHz,NA,2621,NA,1107,NA,35,74,Jan-13,rPGA988B,Laptop,
AMD A6-6420B APU,NA,2612,NA,1579,NA,65,40,Nov-14,FM2,Desktop,
AMD A8-3550MX APU,NA,2610,NA,736,NA,45,58,Mar-12,FS1,Laptop,
AMD Athlon 5350 APU,$120.59 ,2609,21.64,808,6.7,25,104,Mar-14,AM1,FS1B,Desktop
AMD A10-4655M APU,NA,2605,NA,861,NA,25,104,Jul-12,FP2,Laptop,
AMD Phenom 9450e Quad-Core,$105.00*,2599,24.76,758,7.22,65,39,Mar-10,AM2+,Desktop,
Intel Pentium G2010 @ 2.80GHz,$50.00 ,2597,51.95,1493,29.87,55,47,Feb-13,FCLGA1155,Desktop,
AMD Athlon II X4 6400e,NA,2594,NA,NA,NA,NA,NA,Dec-09,NA,Unknown,
Intel Celeron G3900TE @ 2.30GHz,$42.00*,2591,61.71,1351,32.17,35,74,Jul-18,FCLGA1151,Laptop,
Intel Pentium G645 @ 2.90GHz,$40.00 ,2589,64.74,1485,37.14,65,39,Jan-12,LGA1155,Desktop,
Intel Core i7-2630UM @ 1.60GHz,NA,2584,NA,1028,NA,NA,NA,Aug-13,NA,Laptop,
AMD A8-5545M APU,NA,2582,NA,833,NA,19,135,Aug-13,FP2,Laptop,
Intel Core i5-580M @ 2.67GHz,$109.95*,2582,23.49,1223,11.13,35,73,Sep-10,BGA1288,Laptop,
Intel Core i5-560M @ 2.67GHz,$81.97*,2579,31.47,1197,14.61,35,73,Sep-10,BGA1288,Laptop,
Intel Celeron G1620 @ 2.70GHz,$64.99 ,2576,39.64,1444,22.23,55,46,Feb-13,FCLGA1155,Desktop,
AMD A8-6410 APU,NA,2575,NA,885,NA,15,171,Jun-14,BGA769 (FT3b),Laptop,
AMD Phenom 9600B Quad-Core,$147.19*,2575,17.5,791,5.38,95,27,Mar-09,AM2+,Desktop,
AMD Athlon II X3 445,$91.00*,2574,28.29,1049,11.53,95,27,Jul-10,AM3,Desktop,
AMD Athlon X3 435,$95.49*,2574,26.96,989,10.36,95,27,Dec-09,NA,Unknown,
Intel Celeron G1830 @ 2.80GHz,$94.95*,2568,27.05,1574,16.58,53,48,Feb-14,LGA1150,Desktop,
AMD Athlon II X3 440,$26.99*,2567,95.12,1016,37.65,95,27,Feb-10,AM3,Desktop,
Intel Core i3-530 @ 2.93GHz,$108.00 ,2564,23.75,1113,10.31,73,35,Jan-10,LGA1156,Desktop,
Intel Pentium G3220T @ 2.60GHz,$62.98 ,2561,40.67,1448,23,35,73,Mar-14,LGA1150,Desktop,
Intel Pentium G840 @ 2.80GHz,$34.99*,2559,73.14,1456,41.61,65,39,Jun-11,FCLGA1155,Desktop,
AMD A4-6250J APU,NA,2556,NA,786,NA,25,102,Dec-14,NA,Unknown,
Intel Celeron G1840T @ 2.50GHz,NA,2554,NA,1450,NA,35,72,Apr-15,LGA1150,Desktop,
Intel Xeon X5270 @ 3.50GHz,NA,2553,NA,1414,NA,80,31,Sep-14,LGA771,Server,
AMD Phenom 9550 Quad-Core,$28.99*,2544,87.77,760,26.24,95,26,Dec-08,AM2+,Desktop,
Intel Core i3-2328M @ 2.20GHz,$92.97*,2544,27.37,1064,11.45,35,72,Aug-12,PGA988,Laptop,
Intel Core i7-610E @ 2.53GHz,NA,2544,NA,1377,NA,35,72,Nov-11,BGA1288,Laptop,
AMD A9-9410,NA,2543,NA,1519,NA,25,101,Jul-16,FP4,Laptop,
Intel Atom C3558 @ 2.20GHz,$86.00*,2538,29.52,875,10.19,16,158,Nov-17,FCBGA1310,Server,
AMD A4-7210 APU,NA,2529,NA,834,NA,25,101,Jul-15,BGA,Laptop,
Intel Core i3-2330M @ 2.20GHz,$49.95*,2526,50.58,1058,21.18,35,72,Aug-11,BGA1023,Laptop,
Intel Core2 Quad Q9000 @ 2.00GHz,$389.00*,2525,6.49,841,2.16,45,56,Feb-09,PGA478,Laptop,
AMD A9-9430,NA,2524,NA,1507,NA,NA,NA,Dec-17,NA,Desktop,
Intel Pentium 3825U @ 1.90GHz,NA,2519,NA,1043,NA,15,167,Aug-15,FCBGA1168,Laptop,
Intel Pentium G640 @ 2.80GHz,$40.00 ,2519,63,1449,36.24,65,38,Jul-12,LGA1155,Desktop,
AMD Phenom FX-5000 Quad-Core,NA,2517,NA,716,NA,65,38,Oct-09,AM2+,Unknown,
AMD PRO A6-8500B,NA,2516,NA,1370,NA,15,167,Jan-16,FP4,Laptop,
AMD Phenom II N970 Quad-Core,$149.99*,2515,16.77,723,4.83,35,71,Mar-11,S1,Laptop,
Intel Xeon E5335 @ 2.00GHz,$17.77*,2513,141.45,784,44.15,80,31,Apr-09,LGA771,Server,
AMD Embedded G-Series GX-420GI Radeon R7E,NA,2508,NA,894,NA,16.1,155,Sep-17,FP4,Laptop,
Intel Core M-5Y51 @ 1.10GHz,NA,2508,NA,1074,NA,4.5,557,Apr-15,FCBGA1234,Laptop,
Intel Core i3-4030Y @ 1.60GHz,NA,2507,NA,908,NA,11.5,218,Nov-14,FCBGA1168,Laptop,
AMD Athlon X4 605e,NA,2505,NA,NA,NA,45,55,Mar-11,NA,Unknown,
Intel Core i5-4300Y @ 1.60GHz,NA,2502,NA,1113,NA,11.5,217,Jan-13,BGA1168,Desktop,
AMD A9-9425,NA,2501,NA,1492,NA,15,166,Jun-18,BGA (FT4),Laptop,
Pentium Dual-Core E6000 @ 3.46GHz,NA,2501,NA,1526,NA,NA,NA,Apr-11,NA,Unknown,
Intel Celeron G1820T @ 2.40GHz,$42.00*,2495,59.42,1392,33.15,35,71,Feb-14,LGA1150,Desktop,
Intel Celeron G1630 @ 2.80GHz,$69.99 ,2493,35.63,1482,21.18,55,45,Oct-13,FCLGA1155,Desktop,
AMD GX-424CC SOC,NA,2491,NA,876,NA,25,99,Jul-14,FT3b,Laptop,
Intel Celeron G1610 @ 2.60GHz,$47.00 ,2488,52.95,1397,29.73,55,45,Dec-12,FCLGA1155,Desktop,
Intel Pentium G2030T @ 2.60GHz,$64.00*,2487,38.86,1387,21.68,35,71,Jan-14,LGA1155,Desktop,
Intel Core i5 E 520 @ 2.40GHz,NA,2486,NA,1010,NA,35,71,Jan-10,BGA1288,Desktop,
AMD Phenom II N950 Quad-Core,$112.60*,2485,22.07,720,6.39,35,71,Oct-10,S1,Laptop,
Intel Core i7-2610UE @ 1.50GHz,NA,2481,NA,1079,NA,17,145,Jul-12,BGA1023,Laptop,
AMD Athlon II X3 435,$29.99*,2470,82.38,1003,33.45,95,26,Nov-09,AM3,Desktop,
Intel Core i3-3227U @ 1.90GHz,NA,2468,NA,965,NA,17,145,Jan-13,BGA1023,Laptop,
AMD A6-6310 APU,NA,2467,NA,843,NA,15,164,Jul-14,FT3,Laptop,
AMD Athlon II X4 600e,$130.23*,2465,18.93,726,5.58,45,54,Dec-09,AM3,Desktop,
Intel Pentium Silver N5000 @ 1.10GHz,$161.00*,2456,15.26,1128,7.01,6,409,Mar-18,FCBGA1090,Laptop,
Intel Atom C3538 @ 2.10GHz,$75.00*,2455,32.73,831,11.09,15,163,May-18,FCBGA1310,Server,
Intel Xeon X5260 @ 3.33GHz,$54.00*,2455,45.47,1414,26.19,80,30,Mar-09,LGA771,Server,
Intel Core i5-540M @ 2.53GHz,$68.00*,2452,36.07,1105,16.26,35,70,Jan-10,BGA1288,Laptop,
AMD Opteron 2354,$332.03*,2450,7.38,784,2.36,115,21,Sep-13,F (1207),Server,
AMD Phenom II X3 710,$84.53*,2448,28.97,907,10.74,95,25,Feb-09,AM3,Desktop,
Intel Core i3-4005U @ 1.70GHz,NA,2446,NA,940,NA,15,163,Mar-14,FCBGA1168,Laptop,
Intel Core i3-4010U @ 1.70GHz,$149.99 ,2443,16.29,929,6.2,15,162,Jan-13,BGA1168,Laptop,
AMD A6-5200 APU,NA,2436,NA,778,NA,25,97,Jul-13,FT3,Laptop,
Intel Core i3-2310M @ 2.10GHz,$38.81 ,2432,62.68,1007,25.97,35,69,Mar-11,BGA1023,Laptop,
Intel Xeon E3113 @ 3.00GHz,$9.79*,2427,247.99,1269,129.69,65,37,Oct-14,LGA775,Server,
Intel Xeon E5240 @ 3.00GHz,$88.78*,2424,27.31,1276,14.38,65,37,Nov-09,LGA771,Server,
Intel Celeron G555 @ 2.70GHz,$109.00 ,2422,22.23,1382,12.69,65,37,Jan-12,LGA1155,Desktop,
Intel Pentium G2020T @ 2.50GHz,$47.60*,2418,50.81,1311,27.54,35,69,Jan-13,FCLGA1155,Desktop,
AMD A8-3510MX APU,NA,2414,NA,705,NA,45,53,Aug-11,FS1,Laptop,
Intel Xeon E7320 @ 2.13GHz,NA,2413,NA,750,NA,80,30,Mar-16,604,Server,
AMD GX-420CA SOC,NA,2412,NA,731,NA,25,96,Dec-13,FT3 (769-BGA),Laptop,
AMD Embedded R-Series RX-216GD,NA,2409,NA,1375,NA,15,160,May-17,BGA (FP4),Laptop,
Intel Core i5-4200Y @ 1.40GHz,NA,2407,NA,1011,NA,11.5,209,Jan-13,BGA1168,Desktop,
AMD A4 PRO-3340B,NA,2402,NA,872,NA,25,96,Nov-15,BGA769 (FT3),Laptop,
AMD Athlon X3 455,NA,2401,NA,762,NA,95,25,Oct-12,AM2+/AM3,Unknown,
Intel Core i5-480M @ 2.67GHz,$80.60*,2400,29.78,1121,13.92,35,68,Dec-10,BGA1288,Laptop,
Intel Core2 Duo E8600 @ 3.33GHz,$42.45*,2398,56.51,1370,32.28,65,36,Nov-08,LGA775,Desktop,
Intel Pentium 2030M @ 2.50GHz,$134.00*,2398,17.9,1316,9.82,35,68,Oct-13,FCPGA988,Laptop,
Intel Xeon X5272 @ 3.40GHz,$140.00*,2394,17.1,1334,9.53,80,29,Mar-09,LGA771,Server,
Intel Pentium G3320TE @ 2.30GHz,NA,2389,NA,1350,NA,35,68,Jan-14,FCLGA1150,Desktop,
AMD A6-6420K APU,$149.99*,2388,15.92,1469,9.8,65,36,Oct-14,FM2,Desktop,
AMD PRO A6-8530B,NA,2388,NA,1410,NA,15,159,Jan-17,FP4,Laptop,
Intel Core M-5Y10a @ 0.80GHz,NA,2387,NA,863,NA,4.5,530,Mar-15,FCBGA1234,Laptop,
Intel Core i3-2332M @ 2.20GHz,NA,2382,NA,1039,NA,35,68,Mar-14,rPGA988B,Laptop,
AMD Phenom II X4 8700e,NA,2377,NA,NA,NA,NA,NA,Jul-11,NA,Unknown,
Intel Core i5-4210Y @ 1.50GHz,NA,2375,NA,1005,NA,11,215,Jan-13,BGA1168,Desktop,
Intel Core i3-2312M @ 2.10GHz,NA,2374,NA,1028,NA,35,67,Jul-12,PGA988B,Laptop,
Intel Pentium G630 @ 2.70GHz,$100.00 ,2371,23.72,1384,13.84,65,36,Nov-11,LGA1155,Desktop,
Intel Core i5-520M @ 2.40GHz,$29.81 ,2367,79.4,1060,35.57,35,67,Jan-10,BGA1288,Laptop,
Intel Xeon E5603 @ 1.60GHz,$129.04*,2366,18.34,675,5.23,80,29,Jun-11,LGA1366,Server,
Intel Celeron 2000E @ 2.20GHz,NA,2365,NA,1317,NA,37,63,Jan-17,FCBGA1364,Laptop,
Intel Celeron 3965U @ 2.20GHz,$107.00*,2363,22.09,1261,11.79,15,157,Dec-17,FCBGA1356,Laptop,
AMD A8-3530MX APU,NA,2354,NA,694,NA,45,52,Jul-11,FS1,Laptop,
AMD A4 PRO-7300B APU,NA,2353,NA,1437,NA,65,36,Dec-14,NA,Desktop,
AMD Opteron X3216 APU,NA,2353,NA,1375,NA,15,156,Aug-17,NA,Server,
Intel Celeron G1620T @ 2.40GHz,$42.00*,2353,56.03,1295,30.84,35,67,Mar-14,LGA1155,Desktop,
Intel Core2 Duo E8290 @ 2.83GHz,NA,2353,NA,1247,NA,65,36,Nov-12,LGA775,Unknown,
AMD A9-9420,NA,2340,NA,1413,NA,15,156,Aug-17,NA,Laptop,
AMD A4-6320 APU,$69.99*,2329,33.29,1425,20.37,65,35,Apr-14,FM2,Desktop,
AMD Phenom 9350e Quad-Core,382.07*,2320,0.69,671,0.2,65,35,Feb-09,AM2+,Desktop,
Intel Core i5-460M @ 2.53GHz,$74.95*,2320,30.96,1073,14.32,35,66,Sep-10,BGA1288,Laptop,
Intel Core i5-2467M @ 1.60GHz,NA,2317,NA,940,NA,17,136,Jul-11,BGA1023,Laptop,
AMD Opteron 1352,$135.99*,2316,17.04,749,5.51,75,30,Mar-09,AM2,Server,
AMD Athlon II X3 425,$26.99*,2314,85.74,923,34.2,95,24,Aug-09,AM3,Desktop,
AMD Athlon X3 445,NA,2314,NA,NA,NA,95,24,Oct-11,NA,Unknown,
AMD A6-6400K APU,$81.75 ,2313,28.3,1405,17.19,65,35,Jul-13,FM2,Desktop,
AMD A4-7300 APU,$112.00 ,2312,20.65,1393,12.44,65,35,Sep-14,FM2,Desktop,
Intel Celeron 2970M @ 2.20GHz,NA,2312,NA,1289,NA,37,62,May-14,FCPGA946,Laptop,
Intel Core i5-4220Y @ 1.60GHz,NA,2307,NA,984,NA,11.5,200,Jun-15,FCBGA1364,Laptop,
AMD A9-9400,NA,2306,NA,1346,NA,10,230,Dec-16,FP4,Laptop,
AMD Athlon X2 280,$33.49*,2303,68.77,1102,32.92,65,35,Mar-14,AM3,Unknown,
AMD Phenom 9600 Quad-Core,$49.95*,2303,46.11,790,15.82,95,24,Dec-08,AM2+,Desktop,
Intel Core i3-3217U @ 1.80GHz,$229.99*,2303,10.02,900,3.92,17,135,Jul-12,BGA1023,Laptop,
AMD E2-7110 APU,NA,2291,NA,696,NA,15,152,Oct-15,FP4 BGA,Laptop,
Intel Celeron G550 @ 2.60GHz,$80.00 ,2290,28.63,1331,16.64,65,35,Jul-12,LGA1155,Desktop,
Intel Xeon E5320 @ 1.86GHz,$38.75*,2288,59.05,722,18.63,80,28,Mar-09,LGA771,Server,
Intel Pentium G620 @ 2.60GHz,$24.99*,2287,91.54,1324,53.01,65,35,May-11,LGA1155,Desktop,
AMD Athlon II X3 420e,$116.15*,2285,19.68,824,7.1,45,50,Jun-11,AM3,Desktop,
AMD Opteron 2376,$166.81*,2283,13.69,NA,NA,75,30,Mar-09,F (1207),Server,
AMD A6-6400B APU,NA,2281,NA,1386,NA,65,35,Feb-14,FM2,Desktop,
Intel Core2 Duo E8500 @ 3.16GHz,$39.99*,2281,57.06,1314,32.87,65,35,Nov-08,LGA775,Desktop,
AMD Phenom II N930 Quad-Core,$129.95*,2274,17.5,647,4.98,35,64,Apr-10,S1,Laptop,
AMD PRO A4-3350B APU,NA,2274,NA,724,NA,15,151,Jun-16,FT3b,Laptop,
Intel Pentium 2020M @ 2.40GHz,$134.00*,2274,16.97,1252,9.35,35,64,Feb-13,FCPGA988,Laptop,
Intel Xeon L5310 @ 1.60GHz,$112.50*,2274,20.22,640,5.69,50,45,May-16,LGA771,Server,
Intel Celeron N4100 @ 1.10GHz,$107.00*,2273,21.25,1001,9.36,6,378,May-18,FCBGA1090,Laptop,
Intel Xeon L3110 @ 3.00GHz,NA,2273,NA,1266,NA,45,50,Jan-09,LGA775,Server,
Intel Xeon L5240 @ 3.00GHz,$31.40*,2271,72.33,1286,40.96,40,56,Jun-09,LGA771,Server,
Intel Pentium J4205 @ 1.50GHz,NA,2270,NA,862,NA,10,227,Oct-16,FCBGA1296,Desktop,
Intel Pentium 3560M @ 2.40GHz,NA,2269,NA,1333,NA,37,61,Jan-15,FCPGA946,Laptop,
Intel Core i5-4202Y @ 1.60GHz,NA,2262,NA,973,NA,11.5,196,Feb-14,FCBGA1168,Desktop,
Intel Pentium 3550M @ 2.30GHz,NA,2260,NA,1287,NA,37,61,Feb-14,FCPGA946,Laptop,
