CPU Name,Price1,CPU Mark,CPU Value2,Thread Mark,Thread Value3,TDP (W),Power Perf.4,Test Date5,Socket,Category,
Intel Core i7-6850K @ 3.60GHz,$492.75 ,14372,29.17,2191,4.45,140,102,Jun-16,FCLGA2011-3,Desktop,
AMD Ryzen 5 2600X,$149.99 ,14366,95.78,2141,14.28,95,151,Apr-18,AM4,Desktop,
Intel Xeon E-2276M @ 2.80GHz,$450.00*,14356,31.9,2600,5.78,45,319,Jul-19,FCBGA1440,Laptop,
Intel Xeon E5-2687W @ 3.10GHz,$207.00*,14341,69.28,1884,9.1,150,95,Feb-12,LGA2011,Server,
Intel Xeon Silver 4114 @ 2.20GHz,$575.89 ,14306,24.84,1619,2.81,85,168,Oct-17,FCLGA3647,Server,
Intel Core i9-8950HK @ 2.90GHz,$583.00*,14236,24.42,2545,4.37,45,316,Apr-18,FCBGA1440,Laptop,
AMD Ryzen 5 PRO 2600,NA,14221,NA,2047,NA,65,218,Aug-18,AM4,Desktop,
Intel Xeon E5-1650 v4 @ 3.60GHz,$508.00*,14218,27.99,2179,4.29,140,101,Jul-16,FCLGA2011-3,Server,
Intel Xeon E-2276G @ 3.80GHz,$362.00*,14143,39.07,2580,7.13,80,176,Nov-19,FCLGA1151-2,Server,
Intel Core i7-9850H @ 2.60GHz,$395.00*,14128,35.77,2588,6.55,45,313,Jun-19,NA,Laptop,
AMD Ryzen 7 PRO 1700,NA,14112,NA,1838,NA,65,217,Sep-17,AM4,Desktop,
Intel Xeon E5-2650L v4 @ 1.70GHz,496.00*,14093,9.42,1410,0.94,65,216,Jul-17,FCLGA2011-3,Server,
Intel Xeon D-1587 @ 1.70GHz,NA,14049,NA,1266,NA,65,216,Jul-16,FCBGA1667,Server,
Intel Xeon E5-2663 v3 @ 2.80GHz,NA,13994,NA,1801,NA,120,116,Dec-15,LGA2011-v3,Server,
AMD Ryzen 7 1700,$254.89 ,13932,54.66,1781,6.99,65,214,Mar-17,AM4,Desktop,
Intel Core i5-9600 @ 3.10GHz,$224.00*,13931,62.19,2724,12.16,65,214,Sep-19,FCLGA1151-2,Desktop,
Intel Xeon E-2278GEL @ 2.00GHz,$494.00*,13914,28.17,2355,4.77,35,397,Nov-19,FCLGA1151-2,Server,
Intel Xeon E5-2630 v4 @ 2.20GHz,$559.00 ,13913,24.89,1609,2.88,85,163,Apr-16,FCLGA2011-3,Server,
Intel Xeon E5-1660 v2 @ 3.70GHz,$281.99*,13901,49.3,2126,7.54,130,106,Dec-13,LGA 2011,Server,
Intel Xeon E5-2643 v3 @ 3.40GHz,$259.99 ,13887,53.41,2021,7.77,135,102,Jan-15,LGA2011-v3,Server,
Intel Xeon E5-2658 v2 @ 2.40GHz,$179.99*,13874,77.09,1521,8.45,95,146,Dec-13,LGA 2011,Server,
Intel Xeon E5-2640 v3 @ 2.60GHz,$135.00*,13864,102.7,1885,13.97,90,154,Sep-14,LGA2011-v3,Server,
